**ACTUATORS**
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB15,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,F1-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,F1-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C1-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C1-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,DF-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,DF-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WF-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WF-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,RIGHT-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,RIGHT-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB21,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB21,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB23,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB23,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB25,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB25,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,F2-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,F2-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C2-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C2-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WR-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WR-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,BACK-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,BACK-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB32,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB32,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB34,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB34,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB35,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB35,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,F3-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,F3-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,C3-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,C3-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,DB-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,DB-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,WB-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,WB-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,LEFT-1,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,LEFT-1,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB41,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB41,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,SB43,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,SB43,[W/m2-K]
